{{Mod
|id                               = TinctureMinimumChill2
|mod_groups                       = WeaponMinimumChill
|domain                           = 34
|generation_type                  = 1
|required_level                   = 81
|name                             = Subzero
|mod_type                         = WeaponMinimumChill
|stat_text                        = [[Chill|Chills]] from your [[Hit|Hits]] always reduce Action Speed by at least (13-15)%
|stat1_id                         = weapon_chill_minimum_slow_%
|stat1_min                        = 13
|stat1_max                        = 15
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 50
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
