{{Mod
|id                               = SpellAddedPhysicalDamageInfluenceMaven
|mod_groups                       = SpellAddedPhysicalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 85
|name                             = Elevated Hunter's
|mod_type                         = SpellAddedPhysicalDamage
|stat_text                        = Adds (35-49) to (60-73) [[Physical Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_physical_damage
|stat1_min                        = 35
|stat1_max                        = 49
|stat2_id                         = spell_maximum_added_physical_damage
|stat2_min                        = 60
|stat2_max                        = 73
|spawn_weight1_tag                = helmet_basilisk
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, caster_damage, damage, physical, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
