{{Passive skill
|id                                  = Retaliation_notable_6
|int_id                              = -24231
|name                                = Crushing Reply
|is_notable                          = True
|icon                                = RetaliationStun
|stat1_id                            = retaliation_skill_stun_duration_+%
|stat1_value                         = 50
|stat2_id                            = retaliation_skills_fortify_on_melee_hit
|stat2_value                         = 1
|stat_text                           = Retaliation [[Skill|Skills]] have 50% increased Stun Duration on Enemies<br>Retaliation [[Skill|Skills]] Fortify on Melee [[Hit]]
}}
