{{Passive skill
|id                                  = AscendancyCustomTrickster12
|int_id                              = 59546
|name                                = Restless
|ascendancy_class                    = Trickster
|is_notable                          = True
|icon                                = stabbingcomeback
|stat1_id                            = enemies_near_cursed_corpses_are_blinded_and_explode_on_death_for_%_life_as_physical_damage
|stat1_value                         = 5
|stat2_id                            = curses_you_inflict_remain_after_death
|stat2_value                         = 1
|stat_text                           = Enemies near corpses affected by your [[Curse|Curses]] are Blinded<br />Enemies Killed near corpses affected by your [[Curse|Curses]] explode, dealing<br />5% of their [[Life]] as [[Physical Damage]]<br>Non-Aura [[Curse|Curses]] you inflict are not removed from Dying Enemies
}}
