{{Mod
|id                               = LifeFlaskPassiveChargeGainUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 98
|mod_groups                       = FlaskPassiveChargeGain
|mod_type                         = LifeFlaskPassiveChargeGain
|game_mode                        = 0
|stat_text                        = [[Life]] [[Flask|Flasks]] gain (0-3) [[Charge|Charges]] every 3 seconds
|stat1_id                         = life_flask_charges_recovered_per_3_seconds
|stat1_min                        = 0
|stat1_max                        = 3
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
