{{Mod
|id                               = MaximumEnduranceChargeUniqueRing2
|mod_groups                       = MaximumEnduranceCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MaximumEnduranceCharges
|stat_text                        = +1 to Maximum [[Endurance Charge|Endurance Charges]]
|stat1_id                         = max_endurance_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = endurance_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
