{{Passive skill
|id                                  = affliction_notable_victim_maker
|int_id                              = 42929
|name                                = Victim Maker
|is_notable                          = True
|icon                                = CurseEffectNotable
|stat1_id                            = curse_cast_speed_+%
|stat1_value                         = 8
|stat2_id                            = while_curse_is_33%_expired_malediction
|stat2_value                         = 1
|stat_text                           = [[Curse]] [[Skill|Skills]] have 8% increased [[Cast Speed]]<br>Enemies Cursed by you have Malediction if 33% of [[Curse]] Duration expired
}}
