{{Mod
|id                               = GlobalDefensesPerWhiteSocketUnique__1
|mod_groups                       = GlobalDefensesPerWhiteSocket
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = GlobalDefensesPerWhiteSocket
|stat_text                        = 8% increased Global Defences per White [[Item socket|Socket]]
|stat1_id                         = global_defences_+%_per_white_socket_on_item
|stat1_min                        = 8
|stat1_max                        = 8
|tags                             = defences
}}
