{{Passive skill
|id                                  = AscendancyNecromancer13
|int_id                              = 26298
|name                                = Minion Damage and Life
|ascendancy_class                    = Necromancer
|icon                                = CorpseConsumptionNode (Necromancer)
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = minion_maximum_life_+%
|stat2_value                         = 10
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>[[Minion|Minions]] have 10% increased maximum [[Life]]
|connections                         = AscendancyNecromancer7,AscendancyNecromancer7,AscendancyNecromancerStart
}}
