{{Base item
|rarity_id                               = normal
|name                                    = Exceptional Sun Artifact
|class_id                                = StackableCurrency
|size_x                                  = 2
|size_y                                  = 2
|drop_level                              = 25
|tags                                    = disallowed_in_generic_currency_stash_slots, expedition_currency_faction4, currency, default
|metadata_id                             = Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_4
|stack_size                              = 5000
|help_text                               = These can be used to trade with Dannig.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
}}
