{{Mod
|id                               = AfflictionJewelSmallPassivesGrantDex3_
|mod_groups                       = AfflictionJewelSmallPassivesGrantDex
|domain                           = 21
|generation_type                  = 2
|required_level                   = 84
|name                             = of the Fox
|mod_type                         = AfflictionJewelSmallPassivesGrantDex
|stat_text                        = Added Small Passive [[Skill|Skills]] also grant: +(6-8) to [[Dexterity]]
|stat1_id                         = local_affliction_jewel_small_nodes_grant_dex
|stat1_min                        = 6
|stat1_max                        = 8
|spawn_weight1_tag                = expansion_jewel_large
|spawn_weight1_value              = 300
|spawn_weight2_tag                = expansion_jewel_medium
|spawn_weight2_value              = 300
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = attribute
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
