{{Mod
|id                               = MinionLifeRecoveryOnBlockUnique__1
|mod_groups                       = MinionLifeRecoveryOnBlock
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionLifeRecoveryOnBlock
|stat_text                        = [[Minion|Minions]] Recover 10% of their [[Life]] when they [[Block]]
|stat1_id                         = minion_recover_%_of_maximum_life_on_block
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = block, resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
