{{Mod
|id                               = SpellAddedFireDamageEldritchImplicit3
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (11-15) to (24-27) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 11
|stat1_max                        = 15
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 24
|stat2_max                        = 27
|spawn_weight1_tag                = no_tier_4_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = helmet
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
