{{Mod
|id                               = AnimalCharmTotemRecoup2
|mod_groups                       = AnimalCharmTotemRecoup
|domain                           = 35
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Chieftain
|mod_type                         = AnimalCharmTotemRecoup
|stat_text                        = Recoup (8-12)% of Damage Taken by your [[Totem|Totems]] as [[Life]]
|stat1_id                         = recoup_%_of_damage_taken_by_your_totems_as_life
|stat1_min                        = 8
|stat1_max                        = 12
|spawn_weight1_tag                = str_animal_charm
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
