{{Passive skill
|id                                  = AscendancyCustomSlayer11
|int_id                              = 50743
|name                                = Private Tuition
|ascendancy_class                    = Slayer
|is_notable                          = True
|icon                                = SupremeProdigy
|stat1_id                            = intelligence_+%
|stat1_value                         = 30
|stat2_id                            = cannot_be_shocked_with_int_higher_than_strength
|stat2_value                         = 1
|stat_text                           = 30% increased [[Intelligence]]<br>Cannot be [[Shock|Shocked]] if [[Intelligence]] is higher than [[Strength]]
}}
