{{Mod
|id                               = FlaskExtraChargesUnique__2_
|mod_groups                       = FlaskNumCharges
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskExtraMaxCharges
|stat_text                        = +(-40-90) to Maximum [[Charge|Charges]]
|stat1_id                         = local_extra_max_charges
|stat1_min                        = -40
|stat1_max                        = 90
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
