{{Mod
|id                               = LifePerRedSocketUniqueRing39
|mod_groups                       = LifePerRedSocket
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LifePerRedSocket
|stat_text                        = +100 to Maximum [[Life]] per Red [[Item socket|Socket]]
|stat1_id                         = base_maximum_life_per_red_socket_on_item
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
