{{Mod
|id                               = AbyssSpellAddedLightningDamageJewel3__
|mod_groups                       = SpellAddedLightningSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 55
|name                             = of Voltage
|mod_type                         = SpellAddedLightningSuffix
|stat_text                        = Adds (1-4) to (25-29) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 4
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 25
|stat2_max                        = 29
|spawn_weight1_tag                = abyss_jewel_caster
|spawn_weight1_value              = 700
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
