{{Mod
|id                               = SynthesisImplicitSpellAddedColdDamage5
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (15-18) to (26-31) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 15
|stat1_max                        = 18
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 26
|stat2_max                        = 31
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
