{{Mod
|id                               = EinharMasterSpellAddedColdDamage3
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 68
|name                             = Upgraded
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (25-33) to (50-58) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 25
|stat1_max                        = 33
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 50
|stat2_max                        = 58
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
