{{Passive skill
|id                                  = AscendancyPathfinder14
|int_id                              = 1697
|name                                = Master Toxicist
|ascendancy_class                    = Pathfinder
|is_notable                          = True
|icon                                = Master Toxicist (PathFinder)
|stat1_id                            = pathfinder_poison_damage_+100%_final_chance_during_flask_effect
|stat1_value                         = 20
|stat2_id                            = unique_spread_poison_to_nearby_enemies_during_flask_effect
|stat2_value                         = 1
|stat_text                           = [[Poison|Poisons]] you inflict during any Flask Effect have 20% chance to deal 100% more Damage<br>When you [[Kill|kill]] a [[Poison|Poisoned]] Enemy during any Flask Effect, nearby Enemies are [[Poison|Poisoned]]
|connections                         = AscendancyPathfinder13
}}
