{{Passive skill
|id                                  = affliction_notable_snaring_spirits
|int_id                              = 2004
|name                                = Snaring Spirits
|is_notable                          = True
|icon                                = TotemDmgNotable
|stat1_id                            = totem_damage_+%
|stat1_value                         = 30
|stat2_id                            = totem_hinder_nearby_enemies_when_summoned_with_25%_reduced_movement_speed
|stat2_value                         = 1
|stat_text                           = 30% increased [[Totem]] Damage<br>[[Totem|Totems]] Hinder Enemies near them when Summoned
}}
