{{Passive skill
|id                                  = AscendancyCustomAscendant41
|int_id                              = 29166
|name                                = Oro's Sacrifice
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = BluntInstrument
|stat1_id                            = gain_frenzy_charge_if_attack_ignites
|stat1_value                         = 1
|stat2_id                            = culling_strike_on_burning_enemies
|stat2_value                         = 1
|stat_text                           = Gain a [[Frenzy Charge]] if an [[Attack]] [[Ignite|Ignites]] an Enemy<br>Culling Strike against Burning Enemies
}}
