{{Passive skill
|id                                  = AscendancySlayer7
|int_id                              = 3184
|name                                = Headsman
|ascendancy_class                    = Slayer
|is_notable                          = True
|icon                                = BaneOfLegends (Slayer)
|stat1_id                            = gain_movement_speed_+%_for_20_seconds_on_kill
|stat1_value                         = 10
|stat2_id                            = gain_attack_speed_+%_for_20_seconds_on_killing_rare_or_unique_enemy
|stat2_value                         = 10
|stat3_id                            = kill_enemy_on_hit_if_under_20%_life
|stat3_value                         = 1
|stat_text                           = Gain 10% increased [[Movement Speed]] for 20 seconds when you [[Kill]] an Enemy<br>Gain 10% increased [[Attack Speed]] for 20 seconds when you [[Kill]] a Rare or Unique Enemy<br>[[Kill]] Enemies that have 20% or lower [[Life]] when [[Hit]] by your [[Skill|Skills]]
|connections                         = AscendancySlayer2
}}
