{{Mod
|id                               = UniqueJewelNodeChaosDamageUnique__1
|mod_groups                       = UniqueJewelNodeAddition
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = UniqueJewelNodeChaosDamage
|stat_text                        = [[Passive skill|Passive Skills]] in Radius also grant 6% increased [[Chaos Damage]]
|stat1_id                         = local_unique_jewel_passives_in_radius_grant_chaos_damage_+%
|stat1_min                        = 6
|stat1_max                        = 6
|tags                             = chaos_damage, damage, chaos
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
