{{Mod
|id                               = RampageDaemonGlobalBlindChance
|mod_groups                       = RampageDaemonBlindOnHit
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = RampageDaemonBlindOnHit
|stat_text                        = 100% Global chance to Blind Enemies on [[Hit|hit]] (Hidden)
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 100
|stat1_max                        = 100
}}
