{{Passive skill
|id                                  = glancing_blows_keystone2693
|int_id                              = 39713
|name                                = Glancing Blows
|flavour_text                        = Utter trust in your defence unleashes ultimate potential.
|is_keystone                         = True
|icon                                = GlancingBlows
|stat1_id                            = keystone_glancing_blows
|stat1_value                         = 1
|stat_text                           = Chance to [[Block]] [[Attack Damage]] is doubled<br />Chance to [[Block]] [[Spell Damage]] is doubled<br />You take 65% of Damage from Blocked [[Hit|Hits]]
|connections                         = strength814,strength814
}}
