{{Mod
|id                               = AdditionalCritWithAttacksInfluence1_
|mod_groups                       = AdditionalCriticalStrikeChanceWithAttacks
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of the Hunt
|mod_type                         = AdditionalCriticalStrikeChanceWithAttacks
|stat_text                        = [[Attack|Attacks]] have +(0.5-1)% to [[Critical Strike Chance]]
|stat1_id                         = attack_additional_critical_strike_chance_permyriad
|stat1_min                        = 50
|stat1_max                        = 100
|spawn_weight1_tag                = body_armour_basilisk
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attack, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
