{{Mod
|id                               = EssenceDaemonAlternatingBuffsCrit6
|mod_groups                       = EssenceDaemonAlternatingBuffsCrit
|domain                           = 3
|generation_type                  = 11
|required_level                   = 1
|name                             = Shrieking Essence of Scorn
|granted_buff_id                  = essence_alternating_buffs_crit_alternator
|granted_buff_value               = 0
|mod_type                         = EssenceDaemonAlternatingBuffsCrit
|stat_text                        = You take 75% reduced Extra Damage from Critical Strikes (Hidden)<br>All [[Hit|hits]] are Critical Strikes (Hidden)
|stat1_id                         = base_self_critical_strike_multiplier_-%
|stat1_min                        = 75
|stat1_max                        = 75
|stat2_id                         = always_crit
|stat2_min                        = 1
|stat2_max                        = 1
|tags                             = critical
}}
