{{Mod
|id                               = HellscapeUpsideMinionDamagePercentage2
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 24
|required_level                   = 45
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (10-11)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 10
|stat1_max                        = 11
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
