{{Passive skill
|id                                  = dualwield_block_notable_2931
|int_id                              = 18357
|name                                = Feline Swiftness
|is_notable                          = True
|icon                                = DualWieldingBlockNotable
|stat1_id                            = block_while_dual_wielding_%
|stat1_value                         = 10
|stat2_id                            = movement_speed_+%_while_dual_wielding
|stat2_value                         = 8
|stat_text                           = +10% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]<br>8% increased [[Movement Speed]] while [[Dual Wield|Dual Wielding]]
|connections                         = mastery_dualwield_290_,dualwield_block_node_2930,mastery_dualwield_290_
}}
