{{Mod
|id                               = BlockWhileDualWieldingUber2
|mod_groups                       = BlockWhileDualWielding
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of Shaping
|mod_type                         = BlockWhileDualWielding
|stat_text                        = +(5-7)% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
|stat1_id                         = block_while_dual_wielding_%
|stat1_min                        = 5
|stat1_max                        = 7
|spawn_weight1_tag                = sword_shaper
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = axe_shaper
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = mace_shaper
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = claw_shaper
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|tags                             = block
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
