{{Mod
|id                               = AddedColdDamageUniqueBodyDex1
|mod_groups                       = SpecificWeaponColdDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 47
|mod_type                         = AddedColdDamageWithBowsForUnique
|stat_text                        = (105-145) to (160-200) Added [[Cold Damage]] with [[Bow]] [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_cold_damage_with_bows
|stat1_min                        = 105
|stat1_max                        = 145
|stat2_id                         = attack_maximum_added_cold_damage_with_bows
|stat2_min                        = 160
|stat2_max                        = 200
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
