{{Mod
|id                               = WeaponTreeSupportArroganceHardMode
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|mod_groups                       = WeaponTreeSupportArrogance
|granted_skill                    = SupportArrogance
|mod_type                         = WeaponTreeSupportArrogance
|game_mode                        = 2
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 25 Arrogance
|stat1_id                         = local_display_socketed_gems_get_blood_magic_level
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 25
|spawn_weight2_tag                = shield
|spawn_weight2_value              = 25
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
