{{Passive skill
|id                                  = affliction_notable_expert_sabotage
|int_id                              = 54760
|name                                = Expert Sabotage
|is_notable                          = True
|icon                                = TrapAndMineDmgNotable
|stat1_id                            = mine_%_chance_to_detonate_twice
|stat1_value                         = 10
|stat2_id                            = mine_detonation_speed_+%
|stat2_value                         = 20
|stat_text                           = [[Mine|Mines]] have a 10% chance to be Detonated an Additional Time<br>[[Mine|Mines]] have 20% increased Detonation Speed
}}
