{{Mod
|id                               = FlaskLoseChargesOnNewAreaUnique__1
|mod_groups                       = FlaskLoseChargesOnNewArea
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskLoseChargesOnNewArea
|stat_text                        = Loses all [[Charge|Charges]] when you enter a new area
|stat1_id                         = local_flask_lose_all_charges_on_entering_new_area
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
