{{Mod
|id                               = HellscapeUpsideMinionChaosResistance4
|mod_groups                       = MinionChaosResistance
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = MinionChaosResistance
|stat_text                        = [[Minion|Minions]] have +(22-25)% to [[Chaos Resistance]]
|stat1_id                         = minion_chaos_resistance_%
|stat1_min                        = 22
|stat1_max                        = 25
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
