{{Passive skill
|id                                  = block_notable_2934
|int_id                              = 44191
|name                                = As The Mountain
|is_notable                          = True
|icon                                = GenericBlockNotable1
|stat1_id                            = dual_wield_or_shield_block_%
|stat1_value                         = 12
|stat2_id                            = maximum_block_%
|stat2_value                         = 3
|stat_text                           = +12% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]] or holding a [[Shield]]<br>+3% to maximum Chance to [[Block]] [[Attack Damage]]
|connections                         = mastery_block_291_,block_node_2932,mastery_block_291_
}}
