{{Mod
|id                               = WeaponTreeSupportRage2H
|mod_groups                       = WeaponTreeSupportRage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|granted_skill                    = SupportRage
|mod_type                         = WeaponTreeSupportRage
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Rage
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_rage
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = ranged
|spawn_weight1_value              = 0
|spawn_weight2_tag                = two_hand_weapon
|spawn_weight2_value              = 100
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
}}
