{{Mod
|id                               = UniqueJewelNodeIncreasedLifeUnique__1
|mod_groups                       = UniqueJewelNodeAddition
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = UniqueJewelNodeIncreasedLife
|stat_text                        = [[Passive skill|Passive Skills]] in Radius also grant +5 to maximum [[Life]]
|stat1_id                         = local_unique_jewel_passives_in_radius_grant_base_maximum_life
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
