{{Mod
|id                               = SanctumSpecialSpellsHinderOnHitChance
|mod_groups                       = HinderOnHit
|domain                           = 32
|generation_type                  = 2
|required_level                   = 75
|name                             = of Arcane Hindrance
|mod_type                         = SpellsHinderOnHitChance
|stat_text                        = (30-35)% chance to Hinder Enemies on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_chance_to_hinder_on_hit_%
|stat1_min                        = 30
|stat1_max                        = 35
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 150
|tags                             = caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
