{{Mod
|id                               = AvoidColdDamageInfluenceMaven_
|mod_groups                       = ColdDamageAvoidance
|domain                           = 1
|generation_type                  = 2
|required_level                   = 90
|name                             = of the Elevated Conquest
|mod_type                         = ColdDamageAvoidanceMaven
|stat_text                        = (8-10)% chance to Avoid [[Cold Damage]] from [[Hit|Hits]]<br>+(20-30)% to [[Cold Resistance]]
|stat1_id                         = avoid_cold_damage_%
|stat1_min                        = 8
|stat1_max                        = 10
|stat2_id                         = base_cold_damage_resistance_%
|stat2_min                        = 20
|stat2_max                        = 30
|spawn_weight1_tag                = boots_adjudicator
|spawn_weight1_value              = 0
|spawn_weight2_tag                = shield_adjudicator
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, cold, resistance
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
