{{Mod
|id                               = VillageLocalLifeLeechIsInstant
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LocalLifeLeechIsInstant
|mod_type                         = LocalLifeLeechIsInstant
|game_mode                        = 0
|stat_text                        = [[Life]] [[Leech]] from [[Hit|Hits]] with this Weapon is instant
|stat1_id                         = local_life_leech_is_instant
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = resource, village_runesmithing_enchant, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
