{{Mod
|id                               = ConvertPhysicalToFireWithAvatarOfFireUnique__1
|mod_groups                       = ConvertPhysicalToFire
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ConvertPhysicalToFireWithAvatarOfFire
|stat_text                        = 50% of [[Physical Damage]] Converted to Fire while you have Avatar of Fire
|stat1_id                         = physical_damage_%_to_convert_to_fire_while_you_have_avatar_of_fire
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = physical_damage, elemental_damage, damage, physical, elemental, fire
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
