{{Mod
|id                               = AdditionalSpellProjectilesUnique__1
|mod_groups                       = AdditionalSpellProjectiles
|domain                           = 1
|generation_type                  = 3
|required_level                   = 85
|mod_type                         = AdditionalSpellProjectiles
|stat_text                        = [[Spell|Spells]] fire an additional Projectile
|stat1_id                         = spells_number_of_additional_projectiles
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
