{{Base item
|rarity_id                               = normal
|name                                    = The Eldritch Decay
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Time dismantles all things eventually, but some wish to accelerate the process.
|drop_level                              = 81
|tags                                    = shaper_divination, elder_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheEldritchDecay
|stack_size                              = 4
|description                             = {{c|white|Uber Elder Fragment}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
