{{Passive skill
|id                                  = AscendancyCustomNecromancer9
|int_id                              = 1424
|name                                = Nightblood
|ascendancy_class                    = Necromancer
|is_notable                          = True
|icon                                = VoodooShamanBloodMagic2 (VoodooShaman)
|stat1_id                            = spells_you_cast_gain_added_physical_damage_%_life_cost_if_payable
|stat1_value                         = 80
|stat2_id                            = base_skill_gain_life_cost_%_of_mana_cost
|stat2_value                         = 25
|stat_text                           = [[Spell|Spells]] you cast yourself gain Added [[Physical Damage]] equal to 80% of [[Life]] Cost, if [[Life]] Cost is not higher than the maximum you could spend<br>[[Skill|Skills]] gain a Base [[Life]] Cost equal to 25% of Base [[Mana]] Cost
}}
