{{Mod
|id                               = AddedFireDamageUnique__3
|mod_groups                       = AddedFireDamageSpellsAndAttacks
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddedFireDamageSpellsAndAttacks
|stat_text                        = Adds (25-30) to (40-45) [[Fire Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_fire_damage
|stat1_min                        = 25
|stat1_max                        = 30
|stat2_id                         = spell_and_attack_maximum_added_fire_damage
|stat2_min                        = 40
|stat2_max                        = 45
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
