{{Mod
|id                               = CurseEffectivenessInfluence1_
|mod_groups                       = CurseEffectiveness
|domain                           = 1
|generation_type                  = 2
|required_level                   = 73
|name                             = of Redemption
|mod_type                         = CurseEffectiveness
|stat_text                        = (8-11)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 8
|stat1_max                        = 11
|spawn_weight1_tag                = shield_eyrie
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
