{{Mod
|id                               = HeistContractMonstersAllResistances2
|mod_groups                       = MapMonstersAllResistances
|domain                           = 22
|generation_type                  = 1
|required_level                   = 68
|name                             = Resistant
|mod_type                         = HeistContractMonstersAllResistances
|stat_text                        = +15% Monster [[Chaos Resistance]]<br>+20% Monster [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = map_monsters_additional_chaos_resistance
|stat1_min                        = 15
|stat1_max                        = 15
|stat2_id                         = map_monsters_additional_elemental_resistance
|stat2_min                        = 20
|stat2_max                        = 20
|stat3_id                         = map_item_drop_quantity_+%
|stat3_min                        = 13
|stat3_max                        = 13
|stat4_id                         = map_item_drop_rarity_+%
|stat4_min                        = 8
|stat4_max                        = 8
|stat5_id                         = heist_monster_spawner_alive_limit_+%
|stat5_min                        = 5
|stat5_max                        = 5
|stat6_id                         = heist_contract_alert_level_+%_final
|stat6_min                        = -5
|stat6_max                        = -5
|spawn_weight1_tag                = default
|spawn_weight1_value              = 800
|tags                             = elemental, chaos, resistance
}}
