{{Mod
|id                               = CannotBeFrozenWarbands
|mod_groups                       = CannotBeFrozen
|domain                           = 1
|generation_type                  = 1
|required_level                   = 1
|name                             = Mutewind
|mod_type                         = CannotBeFrozen
|stat_text                        = Cannot be [[Freeze|Frozen]]
|stat1_id                         = base_cannot_be_frozen
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
