{{Mod
|id                               = WeaponTreeMinionEvasion2h2
|mod_groups                       = WeaponTreeMinionEvasion
|domain                           = 1
|generation_type                  = 31
|required_level                   = 55
|mod_type                         = WeaponTreeMinionEvasion
|stat_text                        = [[Minion|Minions]] have 60% increased [[Evasion Rating]]
|stat1_id                         = minion_evasion_rating_+%
|stat1_min                        = 60
|stat1_max                        = 60
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 2000
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
