{{Mod
|id                               = ChargeBonusAdditionalCursePowerCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AdditionalCurseOnEnemies
|mod_type                         = AdditionalCurseMaximumPowerCharge
|game_mode                        = 0
|stat_text                        = You can apply an additional [[Curse]] while at maximum [[Power Charge|Power Charges]]
|stat1_id                         = number_of_additional_curses_allowed_while_at_maximum_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
