{{Mod
|id                               = TotalManaCostPerCorruptedItemUnique__1
|mod_groups                       = IncreaseFlatManaCost
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = TotalManaCostPerCorruptedItem
|stat_text                        = -2 to Total [[Mana]] Cost of [[Skill|Skills]] for each Corrupted Item Equipped
|stat1_id                         = skill_mana_cost_+_for_each_equipped_corrupted_item
|stat1_min                        = -2
|stat1_max                        = -2
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
