{{Base item
|rarity_id                               = normal
|name                                    = The Bones
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The flesh is a prison, and we are finally free.
|drop_level                              = 72
|tags                                    = corrupted_divination, gems_divination, gems_levelled_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheBones
|stack_size                              = 6
|description                             = {{c|gem|Level 21 Vaal Summon Skeletons}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
