{{Mod
|id                               = FireAndColdResistImplicitRing1
|mod_groups                       = FireAndColdResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 25
|mod_type                         = FireAndColdResistance
|stat_text                        = +(12-16)% to Fire and [[Cold Resistance|Cold Resistances]]
|stat1_id                         = fire_and_cold_damage_resistance_%
|stat1_min                        = 12
|stat1_max                        = 16
|tags                             = elemental, fire, cold, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
