{{Passive skill
|id                                  = AscendancyCustomHeirophant13
|int_id                              = 41560
|name                                = Minion Life and Chaos Resistance
|ascendancy_class                    = Hierophant
|icon                                = miniondamage
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 10
|stat2_id                            = base_chaos_damage_resistance_%
|stat2_value                         = 7
|stat_text                           = [[Minion|Minions]] have 10% increased maximum [[Life]]<br>+7% to [[Chaos Resistance]]
}}
