{{Mod
|id                               = SanctumSpecialAddedPhysicalDamage
|mod_groups                       = PhysicalDamage
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Tempered
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (5-7) to (11-12) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 5
|stat1_max                        = 7
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 11
|stat2_max                        = 12
|spawn_weight1_tag                = str_special_relic
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
