{{Mod
|id                               = UniqueJewelNodeChaosResistUnique__1
|mod_groups                       = UniqueJewelNodeAddition
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = UniqueJewelNodeChaosResist
|stat_text                        = [[Passive skill|Passive Skills]] in Radius also grant +4% to [[Chaos Resistance]]
|stat1_id                         = local_unique_jewel_passives_in_radius_grant_base_chaos_damage_resistance_%
|stat1_min                        = 4
|stat1_max                        = 4
|tags                             = chaos, resistance
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
