{{Mod
|id                               = DelveRingManaCostReduction1
|mod_groups                       = ManaCostReduction
|domain                           = 16
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Underground
|mod_type                         = ManaCostReduction
|stat_text                        = (4-6)% reduced [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = base_mana_cost_-%
|stat1_min                        = 4
|stat1_max                        = 6
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = ring
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
