{{Passive skill
|id                                  = dual_wield_speed1101
|int_id                              = 59016
|name                                = Dual Wield Block and Attack Speed
|icon                                = dualwieldblock
|stat1_id                            = block_while_dual_wielding_%
|stat1_value                         = 3
|stat2_id                            = attack_speed_while_dual_wielding_+%
|stat2_value                         = 4
|stat_text                           = +3% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]<br>4% increased [[Attack Speed]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_wield_block1099,swagger1090
}}
