{{Mod
|id                               = MineCritChanceJewel
|mod_groups                       = FormCritChance
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Crippling
|mod_type                         = MineCritChanceForJewel
|stat_text                        = (12-16)% increased [[Critical Strike Chance]] with [[Mine|Mines]]
|stat1_id                         = mine_critical_strike_chance_+%
|stat1_min                        = 12
|stat1_max                        = 16
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
