{{Passive skill
|id                                  = AscendancyCustomSaboteur8
|int_id                              = 6252
|name                                = Glacial Wave
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = TempestNotable1 (AtlasTrees)
|stat1_id                            = enemies_chilled_by_hits_take_damage_increased_by_chill_effect
|stat1_value                         = 1
|stat2_id                            = enemies_chilled_by_hits_deal_damage_lessened_by_chill_effect
|stat2_value                         = 1
|stat_text                           = Enemies [[Chill|Chilled]] by your [[Hit|Hits]] have Damage taken increased by [[Chill]] Effect<br>Enemies [[Chill|Chilled]] by your [[Hit|Hits]] lessen their Damage dealt by half of [[Chill]] Effect
}}
