{{Passive skill
|id                                  = atlas_ritual_4264
|int_id                              = 41003
|name                                = Increased Ritual Reroll Cost and Free Rewards After Reroll Chance
|is_atlas_passive                    = True
|icon                                = RitualNode1 (AtlasTrees)
|stat1_id                            = map_ritual_rewards_reroll_cost_+%_final
|stat1_value                         = -3
|stat2_id                            = map_ritual_offered_rewards_from_rerolls_have_permyriad_chance_to_cost_no_tribute
|stat2_value                         = 25
|stat_text                           = Rerolling Favours at Ritual Altars in your Maps costs 3% reduced Tribute<br>Favours Rerolled at Ritual Altars in your Maps have 0.25% chance to cost no Tribute
}}
